collection,word,article,plural,word_class,example,topic,source_page
tricolore-1-5th-edition,au bord de la mer,,,phrase,,home,021
tricolore-1-5th-edition,au pays de Galles,,,phrase,,travel,021
tricolore-1-5th-edition,cinq,,,other,,none,021
tricolore-1-5th-edition,Comment dit-on [...] en anglais?,,,phrase,,communication,021
tricolore-1-5th-edition,Comment dit-on [...] en français?,,,phrase,,communication,021
tricolore-1-5th-edition,Comment dit-on […] en français/anglais?,,,phrase,,communication,021
tricolore-1-5th-edition,Comment ça s'écrit?,,,phrase,,communication,021
tricolore-1-5th-edition,Comment ça se dit?,,,phrase,,communication,021
tricolore-1-5th-edition,dans un appartement,,,phrase,,home,021
tricolore-1-5th-edition,dans un port,,,phrase,,home,021
tricolore-1-5th-edition,dans un village,,,phrase,,home,021
tricolore-1-5th-edition,dans une ferme,,,phrase,,home,021
tricolore-1-5th-edition,dans une maison,,,phrase,,home,021
tricolore-1-5th-edition,dans une ville,,,phrase,,home,021
tricolore-1-5th-edition,deux,,,other,,none,021
tricolore-1-5th-edition,dimanche,,,noun,,time-dates,021
tricolore-1-5th-edition,dix,,,other,,none,021
tricolore-1-5th-edition,dix-huit,,,other,,none,021
tricolore-1-5th-edition,dix-neuf,,,other,,none,021
tricolore-1-5th-edition,dix-sept,,,other,,none,021
tricolore-1-5th-edition,douze,,,other,,none,021
tricolore-1-5th-edition,en Angleterre,,,phrase,,travel,021
tricolore-1-5th-edition,en France,,,phrase,,travel,021
tricolore-1-5th-edition,en Irlande (du Nord),,,phrase,,travel,021
tricolore-1-5th-edition,en Écosse,,,phrase,,travel,021
tricolore-1-5th-edition,huit,,,other,,none,021
tricolore-1-5th-edition,J'habite …,,,phrase,,home,021
tricolore-1-5th-edition,jeudi,,,noun,,time-dates,021
tricolore-1-5th-edition,jours de la semaine,les,,noun,,time-dates,021
tricolore-1-5th-edition,lundi,,,noun,,time-dates,021
tricolore-1-5th-edition,mardi,,,noun,,time-dates,021
tricolore-1-5th-edition,mercredi,,,noun,,time-dates,021
tricolore-1-5th-edition,neuf,,,other,,none,021
tricolore-1-5th-edition,onze,,,other,,none,021
tricolore-1-5th-edition,Où habites-tu? (Tu habites où?),,,phrase,,home,021
tricolore-1-5th-edition,près de Paris,,,phrase,,travel,021
tricolore-1-5th-edition,quatorze,,,other,,none,021
tricolore-1-5th-edition,quatre,,,other,,none,021
tricolore-1-5th-edition,Quel jour sommes-nous?,,,phrase,,time-dates,021
tricolore-1-5th-edition,quinze,,,other,,none,021
tricolore-1-5th-edition,samedi,,,noun,,time-dates,021
tricolore-1-5th-edition,seize,,,other,,none,021
tricolore-1-5th-edition,sept,,,other,,none,021
tricolore-1-5th-edition,six,,,other,,none,021
tricolore-1-5th-edition,treize,,,other,,none,021
tricolore-1-5th-edition,trente,,,other,,none,021
tricolore-1-5th-edition,trois,,,other,,none,021
tricolore-1-5th-edition,un,,,other,,none,021
tricolore-1-5th-edition,vendredi,,,noun,,time-dates,021
tricolore-1-5th-edition,vingt,,,other,,none,021
tricolore-1-5th-edition,vingt-cinq,,,other,,none,021
tricolore-1-5th-edition,vingt-deux,,,other,,none,021
tricolore-1-5th-edition,vingt-et-un,,,other,,none,021
tricolore-1-5th-edition,vingt-huit,,,other,,none,021
tricolore-1-5th-edition,vingt-neuf,,,other,,none,021
tricolore-1-5th-edition,vingt-quatre,,,other,,none,021
tricolore-1-5th-edition,vingt-sept,,,other,,none,021
tricolore-1-5th-edition,vingt-six,,,other,,none,021
tricolore-1-5th-edition,vingt-trois,,,other,,none,021
tricolore-1-5th-edition,zéro,,,other,,none,021
tricolore-1-5th-edition,à la maison,,,phrase,,home,021
tricolore-1-5th-edition,à la montagne,,,phrase,,home,021
tricolore-1-5th-edition,à Londres,,,phrase,,travel,021
tricolore-1-5th-edition,août,,,noun,,time-dates,061
tricolore-1-5th-edition,avril,,,noun,,time-dates,061
tricolore-1-5th-edition,baskets,des,(f pl),noun,,shopping,061
tricolore-1-5th-edition,Bon anniversaire!,,,phrase,,communication,061
tricolore-1-5th-edition,Bonne Année!,,,phrase,,communication,061
tricolore-1-5th-edition,Bonne fête!,,,phrase,,communication,061
tricolore-1-5th-edition,C'est le dix-neuf juillet.,,,phrase,,time-dates,061
tricolore-1-5th-edition,C'est le mardi premier juin.,,,phrase,,time-dates,061
tricolore-1-5th-edition,C'est le trente août.,,,phrase,,time-dates,061
tricolore-1-5th-edition,"C'est quand, le concert/le match?",,,phrase,,time-dates,061
tricolore-1-5th-edition,"C'est quand, ton anniversaire?",,,phrase,,time-dates,061
tricolore-1-5th-edition,carte cadeau,une,,noun,,shopping,061
tricolore-1-5th-edition,casque (audio),un,,noun,,shopping,061
tricolore-1-5th-edition,casquette,une,,noun,,shopping,061
tricolore-1-5th-edition,cent,,,other,,none,061
tricolore-1-5th-edition,chaussettes,des,(f pl),noun,,shopping,061
tricolore-1-5th-edition,chaussures,des,(f pl),noun,,shopping,061
tricolore-1-5th-edition,chemise,une,,noun,,shopping,061
tricolore-1-5th-edition,cravate,une,,noun,,shopping,061
tricolore-1-5th-edition,deux-cents,,,other,,none,061
tricolore-1-5th-edition,décembre,,,noun,,time-dates,061
tricolore-1-5th-edition,février,,,noun,,time-dates,061
tricolore-1-5th-edition,fête nationale,la,,noun,,time-dates,061
tricolore-1-5th-edition,J'ai reçu un tee-shirt et des chaussures.,,,phrase,,shopping,061
tricolore-1-5th-edition,J'ai/Il a/Elle a ...,,,phrase,,personal-info,061
tricolore-1-5th-edition,janvier,,,noun,,time-dates,061
tricolore-1-5th-edition,Je/Il/Elle porte des lunettes.,,,phrase,,personal-info,061
tricolore-1-5th-edition,jogging,un,,noun,,shopping,061
tricolore-1-5th-edition,jour de l'An,le,,noun,,time-dates,061
tricolore-1-5th-edition,Joyeuses Pâques!,,,phrase,,communication,061
tricolore-1-5th-edition,Joyeux Noël!,,,phrase,,communication,061
tricolore-1-5th-edition,juillet,,,noun,,time-dates,061
tricolore-1-5th-edition,juin,,,noun,,time-dates,061
tricolore-1-5th-edition,jupe,une,,noun,,shopping,061
tricolore-1-5th-edition,les cheveux blonds.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux châtains.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux courts.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux frisés.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux longs.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux noirs.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux raides.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les cheveux roux.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les yeux bleus/gris.,,,phrase,,personal-info,061
tricolore-1-5th-edition,les yeux marron/verts.,,,phrase,,personal-info,061
tricolore-1-5th-edition,mai,,,noun,,time-dates,061
tricolore-1-5th-edition,mardi gras,,,noun,,time-dates,061
tricolore-1-5th-edition,mars,,,noun,,time-dates,061
tricolore-1-5th-edition,mois,les,,noun,,time-dates,061
tricolore-1-5th-edition,novembre,,,noun,,time-dates,061
tricolore-1-5th-edition,Noël,,,noun,,time-dates,061
tricolore-1-5th-edition,octobre,,,noun,,time-dates,061
tricolore-1-5th-edition,pantalon,un,,noun,,shopping,061
tricolore-1-5th-edition,pull,un,,noun,,shopping,061
tricolore-1-5th-edition,Pâques,,,noun,,time-dates,061
tricolore-1-5th-edition,Qu'est-ce que tu as reçu comme cadeaux?,,,phrase,,shopping,061
tricolore-1-5th-edition,quatre-vingt-deux,,,other,,none,061
tricolore-1-5th-edition,quatre-vingt-dix,,,other,,none,061
tricolore-1-5th-edition,quatre-vingt-douze,,,other,,none,061
tricolore-1-5th-edition,quatre-vingt-onze,,,other,,none,061
tricolore-1-5th-edition,quatre-vingt-un,,,other,,none,061
tricolore-1-5th-edition,quatre-vingts,,,other,,none,061
tricolore-1-5th-edition,Quelle est la date aujourd'hui?,,,phrase,,time-dates,061
tricolore-1-5th-edition,robe,une,,noun,,shopping,061
tricolore-1-5th-edition,sandales,des,(f pl),noun,,shopping,061
tricolore-1-5th-edition,septembre,,,noun,,time-dates,061
tricolore-1-5th-edition,short,un,,noun,,shopping,061
tricolore-1-5th-edition,soixante-dix,,,other,,none,061
tricolore-1-5th-edition,soixante-dix-huit,,,other,,none,061
tricolore-1-5th-edition,soixante-dix-neuf,,,other,,none,061
tricolore-1-5th-edition,soixante-dix-sept,,,other,,none,061
tricolore-1-5th-edition,soixante-douze,,,other,,none,061
tricolore-1-5th-edition,soixante-et-onze,,,other,,none,061
tricolore-1-5th-edition,soixante-quatorze,,,other,,none,061
tricolore-1-5th-edition,soixante-quinze,,,other,,none,061
tricolore-1-5th-edition,soixante-seize,,,other,,none,061
tricolore-1-5th-edition,soixante-treize,,,other,,none,061
tricolore-1-5th-edition,sweat,un,,noun,,shopping,061
tricolore-1-5th-edition,tee-shirt,un,,noun,,shopping,061
tricolore-1-5th-edition,tennis,des,(f pl),noun,,shopping,061
tricolore-1-5th-edition,trois-cent-soixante,,,other,,none,061
tricolore-1-5th-edition,vêtements,les,,noun,,shopping,061
tricolore-1-5th-edition,écouteurs,des,(m pl),noun,,shopping,061
tricolore-1-5th-edition,@+ (textspeak for À plus tard),,,other,,communication,077
tricolore-1-5th-edition,adorer,,,verb,,mixed,077
tricolore-1-5th-edition,aimer,,,verb,,mixed,077
tricolore-1-5th-edition,Amitiés,,,noun,,communication,077
tricolore-1-5th-edition,arriver,,,verb,,mixed,077
tricolore-1-5th-edition,au printemps,,,phrase,,weather,077
tricolore-1-5th-edition,automne (m),l',,noun,,weather,077
tricolore-1-5th-edition,basket,le,,noun,Je joue au basket.,hobby,077
tricolore-1-5th-edition,brouillard,du,,noun,Il y a du brouillard.,weather,077
tricolore-1-5th-edition,chaud,,,adjective,Il fait chaud.,weather,077
tricolore-1-5th-edition,chercher,,,verb,,mixed,077
tricolore-1-5th-edition,cliquer,,,verb,,mixed,077
tricolore-1-5th-edition,détester,,,verb,,mixed,077
tricolore-1-5th-edition,en automne,,,phrase,,weather,077
tricolore-1-5th-edition,en hiver,,,phrase,,weather,077
tricolore-1-5th-edition,en été,,,phrase,,weather,077
tricolore-1-5th-edition,entrer,,,verb,,mixed,077
tricolore-1-5th-edition,foot(ball),le,,noun,Je joue au foot(ball).,hobby,077
tricolore-1-5th-edition,froid,,,adjective,Il fait froid.,weather,077
tricolore-1-5th-edition,golf,le,,noun,Je joue au golf.,hobby,077
tricolore-1-5th-edition,habiter,,,verb,,mixed,077
tricolore-1-5th-edition,hiver (m),l',,noun,,weather,077
tricolore-1-5th-edition,hockey,le,,noun,Je joue au hockey.,hobby,077
tricolore-1-5th-edition,Il fait beau.,,,phrase,,weather,077
tricolore-1-5th-edition,Il neige.,,,phrase,,weather,077
tricolore-1-5th-edition,Il pleut.,,,phrase,,weather,077
tricolore-1-5th-edition,J'écoute de la musique.,,,phrase,,hobby,077
tricolore-1-5th-edition,J'écris des textos/messages.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je chante.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je danse.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je dessine.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je discute avec mes amis.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je joue au badminton.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je joue sur la console de jeux.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je joue/travaille sur l'ordinateur.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je range ma chambre.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je regarde mes e-mails/textos/messages,,,phrase,,hobby,077
tricolore-1-5th-edition,Je regarde un film.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je reste à la maison.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je retrouve mes amis.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je surfe sur Internet.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je travaille.,,,phrase,,hobby,077
tricolore-1-5th-edition,Je téléphone à un(e) ami(e).,,,phrase,,hobby,077
tricolore-1-5th-edition,jouer,,,verb,,mixed,077
tricolore-1-5th-edition,mauvais,,,adjective,Il fait mauvais.,weather,077
tricolore-1-5th-edition,normalement,,,adverb,,daily-routine,077
tricolore-1-5th-edition,On joue aux cartes.,,,phrase,,hobby,077
tricolore-1-5th-edition,On joue à des jeux vidéo.,,,phrase,,hobby,077
tricolore-1-5th-edition,penser,,,verb,,mixed,077
tricolore-1-5th-edition,printemps,le,,noun,,weather,077
tricolore-1-5th-edition,Qu'est-ce que tu fais le weekend?,,,phrase,,hobby,077
tricolore-1-5th-edition,Qu'est-ce que tu fais quand il fait mauvais?,,,phrase,,hobby,077
tricolore-1-5th-edition,Qu'est-ce que tu fais?,,,phrase,,hobby,077
tricolore-1-5th-edition,Quel temps fait-il?,,,phrase,,weather,077
tricolore-1-5th-edition,quelquefois,,,adverb,,daily-routine,077
tricolore-1-5th-edition,radio,la,,noun,J'écoute la radio.,hobby,077
tricolore-1-5th-edition,regarder,,,verb,,mixed,077
tricolore-1-5th-edition,rentrer,,,verb,,mixed,077
tricolore-1-5th-edition,rester,,,verb,,mixed,077
tricolore-1-5th-edition,rugby,le,,noun,Je joue au rugby.,hobby,077
tricolore-1-5th-edition,soleil,du,,noun,Il y a du soleil.,weather,077
tricolore-1-5th-edition,souvent,,,adverb,,daily-routine,077
tricolore-1-5th-edition,surfer,,,verb,,mixed,077
tricolore-1-5th-edition,taper,,,verb,,mixed,077
tricolore-1-5th-edition,tennis,le,,noun,Je joue au tennis.,hobby,077
tricolore-1-5th-edition,tennis de table,le,,noun,Je joue au tennis de table.,hobby,077
tricolore-1-5th-edition,Ton ami(e),,,phrase,,communication,077
tricolore-1-5th-edition,travailler,,,verb,,mixed,077
tricolore-1-5th-edition,télé,la,,noun,Je regarde la télé.,hobby,077
tricolore-1-5th-edition,téléphoner,,,verb,,mixed,077
tricolore-1-5th-edition,vent,du,,noun,Il y a du vent.,weather,077
tricolore-1-5th-edition,volley,le,,noun,Je joue au volley.,hobby,077
tricolore-1-5th-edition,À bientôt,,,phrase,,communication,077
tricolore-1-5th-edition,écouter,,,verb,,mixed,077
tricolore-1-5th-edition,été (m),l',,noun,,weather,077
tricolore-1-5th-edition,aquarium,un,,noun,,city-places,093
tricolore-1-5th-edition,auberge de jeunesse,une,,noun,,city-places,093
tricolore-1-5th-edition,banque,une,,noun,,city-places,093
tricolore-1-5th-edition,bibliothèque,une,,noun,,city-places,093
tricolore-1-5th-edition,bowling,un,,noun,,city-places,093
tricolore-1-5th-edition,bâtiments religieux,des,,noun,,city-places,093
tricolore-1-5th-edition,C'est assez loin.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est derrière l'église.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est devant l'église.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est entre le cinéma et le café.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est loin.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est loin?,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est tout près.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est à 50 mètres.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est à côté de la poste.,,,phrase,,city-places,093
tricolore-1-5th-edition,C'est à côté du cinéma.,,,phrase,,city-places,093
tricolore-1-5th-edition,camping,un,,noun,,city-places,093
tricolore-1-5th-edition,cathédrale,une,,noun,,city-places,093
tricolore-1-5th-edition,Ce n'est pas loin.,,,phrase,,city-places,093
tricolore-1-5th-edition,centre commercial,un,,noun,,city-places,093
tricolore-1-5th-edition,centre sportif,un,,noun,,city-places,093
tricolore-1-5th-edition,château,un,,noun,,city-places,093
tricolore-1-5th-edition,Continuez tout droit.,,,phrase,,city-places,093
tricolore-1-5th-edition,Est-ce qu'il y a un café près d'ici?,,,phrase,,city-places,093
tricolore-1-5th-edition,gare,une,,noun,,city-places,093
tricolore-1-5th-edition,Grosse-Horloge,la,,noun,,city-places,093
tricolore-1-5th-edition,hôpital,un,,noun,,city-places,093
tricolore-1-5th-edition,hôtel,un,,noun,,city-places,093
tricolore-1-5th-edition,hôtel de ville,un,,noun,,city-places,093
tricolore-1-5th-edition,Il va à la gare.,,,phrase,,travel,093
tricolore-1-5th-edition,Ils vont aux magasins.,,,phrase,,travel,093
tricolore-1-5th-edition,Je vais à Paris.,,,phrase,,travel,093
tricolore-1-5th-edition,magasin,un,,noun,,city-places,093
tricolore-1-5th-edition,marché,un,,noun,,city-places,093
tricolore-1-5th-edition,mosquée,une,,noun,,city-places,093
tricolore-1-5th-edition,musée,un,,noun,,city-places,093
tricolore-1-5th-edition,Nous allons à l'hôpital.,,,phrase,,travel,093
tricolore-1-5th-edition,office de tourisme,un,,noun,,city-places,093
tricolore-1-5th-edition,parc,un,,noun,,city-places,093
