collection,word,translation,article,gender,plural,word_class,example,topic,source_page
tricolore-1-5th-edition,au bord de la mer,by the sea,,,,phrase,,home,021
tricolore-1-5th-edition,au pays de Galles,in Wales,,,,phrase,,travel,021
tricolore-1-5th-edition,cinq,,,,,other,,none,021
tricolore-1-5th-edition,Comment dit-on [...] en anglais?,What's the English for [...]?,,,,phrase,,communication,021
tricolore-1-5th-edition,Comment dit-on [...] en français?,What's the French for [...]?,,,,phrase,,communication,021
tricolore-1-5th-edition,Comment dit-on […] en français/anglais?,What's the French/English for […]?,,,,phrase,,communication,021
tricolore-1-5th-edition,Comment ça s'écrit?,How do you spell that? / How's it written?,,,,phrase,,communication,021
tricolore-1-5th-edition,Comment ça se dit?,How do you say this?,,,,phrase,,communication,021
tricolore-1-5th-edition,dans un appartement,in a flat,,,,phrase,,home,021
tricolore-1-5th-edition,dans un port,in a port,,,,phrase,,home,021
tricolore-1-5th-edition,dans un village,in a village,,,,phrase,,home,021
tricolore-1-5th-edition,dans une ferme,on a farm,,,,phrase,,home,021
tricolore-1-5th-edition,dans une maison,in a house,,,,phrase,,home,021
tricolore-1-5th-edition,dans une ville,in a town,,,,phrase,,home,021
tricolore-1-5th-edition,deux,,,,,other,,none,021
tricolore-1-5th-edition,dimanche,Sunday,,,,noun,,time-dates,021
tricolore-1-5th-edition,dix,,,,,other,,none,021
tricolore-1-5th-edition,dix-huit,,,,,other,,none,021
tricolore-1-5th-edition,dix-neuf,,,,,other,,none,021
tricolore-1-5th-edition,dix-sept,,,,,other,,none,021
tricolore-1-5th-edition,douze,,,,,other,,none,021
tricolore-1-5th-edition,en Angleterre,in England,,,,phrase,,travel,021
tricolore-1-5th-edition,en France,in France,,,,phrase,,travel,021
tricolore-1-5th-edition,en Irlande (du Nord),in (Northern) Ireland,,,,phrase,,travel,021
tricolore-1-5th-edition,en Écosse,in Scotland,,,,phrase,,travel,021
tricolore-1-5th-edition,huit,,,,,other,,none,021
tricolore-1-5th-edition,J'habite …,I live …,,,,phrase,,home,021
tricolore-1-5th-edition,jeudi,Thursday,,,,noun,,time-dates,021
tricolore-1-5th-edition,jours de la semaine,days of the week,les,,,noun,,time-dates,021
tricolore-1-5th-edition,lundi,Monday,,,,noun,,time-dates,021
tricolore-1-5th-edition,mardi,Tuesday,,,,noun,,time-dates,021
tricolore-1-5th-edition,mercredi,Wednesday,,,,noun,,time-dates,021
tricolore-1-5th-edition,neuf,,,,,other,,none,021
tricolore-1-5th-edition,onze,,,,,other,,none,021
tricolore-1-5th-edition,Où habites-tu? (Tu habites où?),Where do you live?,,,,phrase,,home,021
tricolore-1-5th-edition,près de Paris,near Paris,,,,phrase,,travel,021
tricolore-1-5th-edition,quatorze,,,,,other,,none,021
tricolore-1-5th-edition,quatre,,,,,other,,none,021
tricolore-1-5th-edition,Quel jour sommes-nous?,What day/date is it?,,,,phrase,,time-dates,021
tricolore-1-5th-edition,quinze,,,,,other,,none,021
tricolore-1-5th-edition,samedi,Saturday,,,,noun,,time-dates,021
tricolore-1-5th-edition,seize,,,,,other,,none,021
tricolore-1-5th-edition,sept,,,,,other,,none,021
tricolore-1-5th-edition,six,,,,,other,,none,021
tricolore-1-5th-edition,treize,,,,,other,,none,021
tricolore-1-5th-edition,trente,,,,,other,,none,021
tricolore-1-5th-edition,trois,,,,,other,,none,021
tricolore-1-5th-edition,un,,,,,other,,none,021
tricolore-1-5th-edition,vendredi,Friday,,,,noun,,time-dates,021
tricolore-1-5th-edition,vingt,,,,,other,,none,021
tricolore-1-5th-edition,vingt-cinq,,,,,other,,none,021
tricolore-1-5th-edition,vingt-deux,,,,,other,,none,021
tricolore-1-5th-edition,vingt-et-un,,,,,other,,none,021
tricolore-1-5th-edition,vingt-huit,,,,,other,,none,021
tricolore-1-5th-edition,vingt-neuf,,,,,other,,none,021
tricolore-1-5th-edition,vingt-quatre,,,,,other,,none,021
tricolore-1-5th-edition,vingt-sept,,,,,other,,none,021
tricolore-1-5th-edition,vingt-six,,,,,other,,none,021
tricolore-1-5th-edition,vingt-trois,,,,,other,,none,021
tricolore-1-5th-edition,zéro,,,,,other,,none,021
tricolore-1-5th-edition,à la maison,at home,,,,phrase,,home,021
tricolore-1-5th-edition,à la montagne,in the mountains,,,,phrase,,home,021
tricolore-1-5th-edition,à Londres,in London,,,,phrase,,travel,021
tricolore-1-5th-edition,août,August,,,,noun,,time-dates,061
tricolore-1-5th-edition,avril,April,,,,noun,,time-dates,061
tricolore-1-5th-edition,baskets,trainers,des,,(f pl),noun,,shopping,061
tricolore-1-5th-edition,Bon anniversaire!,Happy Birthday!,,,,phrase,,communication,061
tricolore-1-5th-edition,Bonne Année!,Happy New Year!,,,,phrase,,communication,061
tricolore-1-5th-edition,Bonne fête!,Best wishes on your Saint's Day!,,,,phrase,,communication,061
tricolore-1-5th-edition,C'est le dix-neuf juillet.,It's the 19th of July.,,,,phrase,,time-dates,061
tricolore-1-5th-edition,C'est le mardi premier juin.,It's Tuesday the first of June.,,,,phrase,,time-dates,061
tricolore-1-5th-edition,C'est le trente août.,It's the 30th of August.,,,,phrase,,time-dates,061
tricolore-1-5th-edition,"C'est quand, le concert/le match?",When is the concert/the match?,,,,phrase,,time-dates,061
tricolore-1-5th-edition,"C'est quand, ton anniversaire?",When is your birthday?,,,,phrase,,time-dates,061
tricolore-1-5th-edition,carte cadeau,gift card/token,une,,,noun,,shopping,061
tricolore-1-5th-edition,casque (audio),headphones,un,,,noun,,shopping,061
tricolore-1-5th-edition,casquette,baseball cap,une,,,noun,,shopping,061
tricolore-1-5th-edition,cent,,,,,other,,none,061
tricolore-1-5th-edition,chaussettes,socks,des,,(f pl),noun,,shopping,061
tricolore-1-5th-edition,chaussures,shoes,des,,(f pl),noun,,shopping,061
tricolore-1-5th-edition,chemise,shirt,une,,,noun,,shopping,061
tricolore-1-5th-edition,cravate,tie,une,,,noun,,shopping,061
tricolore-1-5th-edition,deux-cents,,,,,other,,none,061
tricolore-1-5th-edition,décembre,December,,,,noun,,time-dates,061
tricolore-1-5th-edition,février,February,,,,noun,,time-dates,061
tricolore-1-5th-edition,fête nationale,Bastille Day (14th July),la,,,noun,,time-dates,061
tricolore-1-5th-edition,J'ai reçu un tee-shirt et des chaussures.,I got a T-shirt and some shoes.,,,,phrase,,shopping,061
tricolore-1-5th-edition,J'ai/Il a/Elle a ...,I have/He has/She has ...,,,,phrase,,personal-info,061
tricolore-1-5th-edition,janvier,January,,,,noun,,time-dates,061
tricolore-1-5th-edition,Je/Il/Elle porte des lunettes.,I wear/He/She wears glasses.,,,,phrase,,personal-info,061
tricolore-1-5th-edition,jogging,"jogging trousers, tracksuit bottoms",un,,,noun,,shopping,061
tricolore-1-5th-edition,jour de l'An,New Year's Day,le,,,noun,,time-dates,061
