collection,word,article,plural,word_class,example,topic,source_page
tricolore-2-5th-edition,'envoi',,,noun,,none,154
tricolore-2-5th-edition,(à) mon avis,,,phrase,,none,154
tricolore-2-5th-edition,aider à la maison,,,phrase,,none,154
tricolore-2-5th-edition,allumer,,,verb,,none,154
tricolore-2-5th-edition,apprendre (par cœur),,,verb,,none,154
tricolore-2-5th-edition,argent,l',,noun,,shopping,154
tricolore-2-5th-edition,bic (m),,,noun,,none,154
tricolore-2-5th-edition,boissons,les,,noun,,food,154
tricolore-2-5th-edition,brancher,,,verb,,none,154
tricolore-2-5th-edition,cahier (m),,,noun,,school,154
tricolore-2-5th-edition,calculatrice (f),,,noun,,school,154
tricolore-2-5th-edition,cartable (m),,,noun,,school,154
tricolore-2-5th-edition,carte (f),,,noun,,none,154
tricolore-2-5th-edition,casse-croûtes,les,,noun,,food,154
tricolore-2-5th-edition,chaise (f),,,noun,,none,154
tricolore-2-5th-edition,charger,,,verb,,none,154
tricolore-2-5th-edition,chercher dans le dictionnaire,,,verb,,school,154
tricolore-2-5th-edition,chez une famille,,,phrase,,family,154
tricolore-2-5th-edition,choisir,,,verb,,none,154
tricolore-2-5th-edition,classeur (m),,,noun,,communication,154
tricolore-2-5th-edition,clavier (m),,,noun,,communication,154
tricolore-2-5th-edition,cliquer sur la souris,,,verb,,communication,154
tricolore-2-5th-edition,clé USB (f),,,noun,,none,154
tricolore-2-5th-edition,commencer,,,verb,,none,154
tricolore-2-5th-edition,corriger,,,verb,,none,154
tricolore-2-5th-edition,couper-coller,,,verb,,none,154
tricolore-2-5th-edition,curseur (m),,,noun,,communication,154
tricolore-2-5th-edition,descriptions,les,,noun,,none,154
tricolore-2-5th-edition,dessiner,,,verb,,none,154
tricolore-2-5th-edition,deviner,,,verb,,none,154
tricolore-2-5th-edition,distractions,les,,noun,,hobby,154
tricolore-2-5th-edition,distribuer,,,verb,,none,154
tricolore-2-5th-edition,effacer,,,verb,,none,154
tricolore-2-5th-edition,en classe,,,phrase,,school,154
tricolore-2-5th-edition,en ligne,,,phrase,,none,154
tricolore-2-5th-edition,en voyage,,,phrase,,none,154
tricolore-2-5th-edition,encore une fois,,,phrase,,none,154
tricolore-2-5th-edition,essayer,,,verb,,none,154
tricolore-2-5th-edition,excursion,une,,noun,,vacation,154
tricolore-2-5th-edition,expliquer,,,verb,,none,154
tricolore-2-5th-edition,famille,la,,noun,,family,154
tricolore-2-5th-edition,fermer,,,verb,,none,154
tricolore-2-5th-edition,feutre (m),,,noun,,none,154
tricolore-2-5th-edition,fichier (m),,,noun,,communication,154
tricolore-2-5th-edition,finir,,,verb,,none,154
tricolore-2-5th-edition,gagner,,,verb,,none,154
tricolore-2-5th-edition,glaces,les,,noun,,none,154
tricolore-2-5th-edition,gomme (f),,,noun,,school,154
tricolore-2-5th-edition,imprimante (f),,,noun,,communication,154
tricolore-2-5th-edition,informatique (f),l',,noun,,none,154
tricolore-2-5th-edition,iPod (m),,,noun,,none,154
tricolore-2-5th-edition,lecteur CD (m),,,noun,,none,154
tricolore-2-5th-edition,lecteur MP3 (m),,,noun,,none,154
tricolore-2-5th-edition,lecture,la,,noun,,hobby,154
tricolore-2-5th-edition,lien (m),,,noun,,communication,154
tricolore-2-5th-edition,magasins,les,,noun,,shopping,154
tricolore-2-5th-edition,marquer,,,verb,,none,154
tricolore-2-5th-edition,match,un,,noun,,hobby,154
tricolore-2-5th-edition,matières scolaires,les,,noun,,school,154
tricolore-2-5th-edition,matériel scolaire,le,,noun,,school,154
tricolore-2-5th-edition,menu (m),,,noun,,restaurant,154
tricolore-2-5th-edition,message (m),,,noun,,communication,154
tricolore-2-5th-edition,mettre dans le bon ordre,,,verb,,none,154
tricolore-2-5th-edition,moniteur (m),,,noun,,none,154
tricolore-2-5th-edition,mot de passe (m),,,noun,,communication,154
tricolore-2-5th-edition,noter,,,verb,,none,154
